Estado: (4, 5), Acción: (0, 1), Nueva posición: [4, 5], Recompensa: -1, Caida Epsilon: 0.4520436502664754
Estado: (4, 5), Acción: (0, -1), Nueva posición: [4, 4], Recompensa: -0.1, Caida Epsilon: 0.44752321376381066
Estado: (4, 4), Acción: (0, 1), Nueva posición: [4, 5], Recompensa: -0.1, Caida Epsilon: 0.44304798162617254
Estado: (4, 5), Acción: (1, 0), Nueva posición: [5, 5], Recompensa: -0.1, Caida Epsilon: 0.4386175018099108
Estado: (5, 5), Acción: (0, 1), Nueva posición: [5, 6], Recompensa: -0.1, Caida Epsilon: 0.4342313267918117
Estado: (5, 6), Acción: (0, 1), Nueva posición: [5, 7], Recompensa: -0.1, Caida Epsilon: 0.4298890135238936
Estado: (5, 7), Acción: (1, 0), Nueva posición: [6, 7], Recompensa: -0.1, Caida Epsilon: 0.42559012338865465
Estado: (6, 7), Acción: (1, 0), Nueva posición: [7, 7], Recompensa: 10, Caida Epsilon: 0.4213342221547681
Estado: (0, 0), Acción: (0, 1), Nueva posición: [0, 1], Recompensa: -0.1, Caida Epsilon: 0.41712087993322045
Estado: (0, 1), Acción: (1, 0), Nueva posición: [1, 1], Recompensa: -0.1, Caida Epsilon: 0.41294967113388825
Estado: (1, 1), Acción: (0, -1), Nueva posición: [1, 1], Recompensa: -1, Caida Epsilon: 0.40882017442254937
Estado: (1, 1), Acción: (1, 0), Nueva posición: [2, 1], Recompensa: -0.1, Caida Epsilon: 0.4047319726783239
Estado: (2, 1), Acción: (1, 0), Nueva posición: [3, 1], Recompensa: -0.1, Caida Epsilon: 0.40068465295154065
Estado: (3, 1), Acción: (-1, 0), Nueva posición: [2, 1], Recompensa: -0.1, Caida Epsilon: 0.39667780642202527
Estado: (2, 1), Acción: (0, 1), Nueva posición: [2, 2], Recompensa: -0.1, Caida Epsilon: 0.392711028357805
Estado: (2, 2), Acción: (1, 0), Nueva posición: [2, 2], Recompensa: -1, Caida Epsilon: 0.38878391807422696
Estado: (2, 2), Acción: (-1, 0), Nueva posición: [2, 2], Recompensa: -1, Caida Epsilon: 0.3848960788934847
Estado: (2, 2), Acción: (0, -1), Nueva posición: [2, 1], Recompensa: -0.1, Caida Epsilon: 0.38104711810454983
Estado: (2, 1), Acción: (1, 0), Nueva posición: [3, 1], Recompensa: -0.1, Caida Epsilon: 0.37723664692350434
Estado: (3, 1), Acción: (-1, 0), Nueva posición: [2, 1], Recompensa: -0.1, Caida Epsilon: 0.37346428045426927
Estado: (2, 1), Acción: (0, 1), Nueva posición: [2, 2], Recompensa: -0.1, Caida Epsilon: 0.36972963764972655
Estado: (2, 2), Acción: (0, -1), Nueva posición: [2, 1], Recompensa: -0.1, Caida Epsilon: 0.36603234127322926
Estado: (2, 1), Acción: (0, 1), Nueva posición: [2, 2], Recompensa: -0.1, Caida Epsilon: 0.36237201786049694
Estado: (2, 2), Acción: (0, 1), Nueva posición: [2, 3], Recompensa: -0.1, Caida Epsilon: 0.358748297681892
Estado: (2, 3), Acción: (0, 1), Nueva posición: [2, 4], Recompensa: -0.1, Caida Epsilon: 0.35516081470507305
Estado: (2, 4), Acción: (1, 0), Nueva posición: [2, 4], Recompensa: -1, Caida Epsilon: 0.3516092065580223
Estado: (2, 4), Acción: (0, -1), Nueva posición: [2, 3], Recompensa: -0.1, Caida Epsilon: 0.34809311449244207
Estado: (2, 3), Acción: (1, 0), Nueva posición: [3, 3], Recompensa: -0.1, Caida Epsilon: 0.34461218334751764
Estado: (3, 3), Acción: (1, 0), Nueva posición: [4, 3], Recompensa: -0.1, Caida Epsilon: 0.34116606151404244
